degree_of_automation,onet_code,occupation,year
74,51-9194.00,Etchers and Engravers,2015
74,45-2092.02,"Farmworkers and Laborers, Crop",2015
73,13-1031.01,"Claims Examiners, Property and Casualty Insurance",2015
69,17-2199.08,Robotics Engineers,2015
68,13-1199.03,Customs Brokers,2015
67,29-2011.00,Medical and Clinical Laboratory Technologists,2015
66,51-8091.00,Chemical Plant and System Operators,2015
66,43-2021.00,Telephone Operators,2015
66,41-3041.00,Travel Agents,2015
65,53-2021.00,Air Traffic Controllers,2015
65,43-4021.00,Correspondence Clerks,2015
65,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,2015
63,25-4031.00,Library Technicians,2015
63,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2015
62,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",2015
61,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",2015
61,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2015
60,53-7071.00,Gas Compressor and Gas Pumping Station Operators,2015
59,13-2051.00,Financial Analysts,2015
59,43-9041.01,Insurance Claims Clerks,2015
58,11-3051.04,Biomass Power Plant Managers,2015
58,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",2015
58,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,2015
58,33-3021.05,Immigration and Customs Inspectors,2015
57,43-4011.00,Brokerage Clerks,2015
57,51-6011.00,Laundry and Dry-Cleaning Workers,2015
57,51-8021.00,Stationary Engineers and Boiler Operators,2015
56,43-4061.00,"Eligibility Interviewers, Government Programs",2015
56,13-1032.00,"Insurance Appraisers, Auto Damage",2015
55,13-2011.01,Accountants,2015
55,43-9021.00,Data Entry Keyers,2015
55,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2015
55,51-8092.00,Gas Plant Operators,2015
55,29-2011.03,Histotechnologists and Histologic Technicians,2015
55,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",2015
55,25-4021.00,Librarians,2015
55,51-9083.00,Ophthalmic Laboratory Technicians,2015
55,17-3024.01,Robotics Technicians,2015
55,51-9197.00,Tire Builders,2015
54,13-2011.02,Auditors,2015
54,17-1021.00,Cartographers and Photogrammetrists,2015
54,13-2072.00,Loan Officers,2015
54,39-3021.00,Motion Picture Projectionists,2015
54,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2015
53,53-6011.00,Bridge and Lock Tenders,2015
53,51-3093.00,Food Cooking Machine Operators and Tenders,2015
53,41-2012.00,Gaming Change Persons and Booth Cashiers,2015
53,41-3021.00,Insurance Sales Agents,2015
53,43-4131.00,Loan Interviewers and Clerks,2015
53,29-2012.00,Medical and Clinical Laboratory Technicians,2015
53,51-8013.00,Power Plant Operators,2015
52,43-4041.02,Credit Checkers,2015
52,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",2015
52,51-9111.00,Packaging and Filling Machine Operators and Tenders,2015
52,53-7081.00,Refuse and Recyclable Material Collectors,2015
52,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2015
52,41-9041.00,Telemarketers,2015
51,43-3011.00,Bill and Account Collectors,2015
51,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2015
51,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",2015
51,43-9041.02,Insurance Policy Processing Clerks,2015
51,13-2053.00,Insurance Underwriters,2015
51,43-4031.03,License Clerks,2015
51,51-8011.00,Nuclear Power Reactor Operators,2015
51,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,2015
50,13-2031.00,Budget Analysts,2015
50,53-7011.00,Conveyor Operators and Tenders,2015
50,53-7031.00,Dredge Operators,2015
50,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",2015
50,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2015
50,13-1071.00,Human Resources Specialists,2015
50,53-7063.00,Machine Feeders and Offbearers,2015
50,43-3051.00,Payroll and Timekeeping Clerks,2015
50,43-5052.00,Postal Service Mail Carriers,2015
50,53-7072.00,"Pump Operators, Except Wellhead Pumpers",2015
50,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",2015
50,11-3031.01,Treasurers and Controllers,2015
49,15-2011.00,Actuaries,2015
49,43-9111.01,Bioinformatics Technicians,2015
49,13-1021.00,"Buyers and Purchasing Agents, Farm Products",2015
49,17-2041.00,Chemical Engineers,2015
49,13-1051.00,Cost Estimators,2015
49,15-1199.12,Document Management Specialists,2015
49,13-2061.00,Financial Examiners,2015
49,33-3021.06,Intelligence Analysts,2015
49,23-1023.00,"Judges, Magistrate Judges, and Magistrates",2015
